ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile
448-11-7826|4243864908108186611|John|Cortez|M|4918 Daniel Shore Suite 226|Darlington|WI|53530|42.6878|-90.1106|4566|Armed forces technical officer|1974-12-06|455624263623|adults_50up_male_urban.json
305-41-9621|3579452321941682|Alicia|Foster|F|77697 Montgomery Ridges|Cortlandt Manor|NY|10567|41.284|-73.8931|19929|Media planner|2003-12-19|741700746879|young_adults_female_urban.json
692-51-4959|5520310303723681|Connor|Turner|M|76012 Joanne Mills Suite 707|Laurel|MD|20708|39.0499|-76.8345|102149|Textile designer|1977-06-27|220085418516|adults_2550_male_urban.json
584-51-0835|341667998407674|Jose|Hardy|M|08069 Tran Grove Suite 717|Norwalk|CA|90650|33.9056|-118.0818|105549|Writer|1946-01-12|712702425539|adults_50up_male_urban.json
460-90-7148|503843757389|Daniel|Stout|M|724 Moyer Village Suite 729|Newtown|CT|06470|41.3931|-73.3167|16003|Engineer, maintenance (IT)|1990-10-19|757127388601|adults_2550_male_urban.json
684-62-2116|4297167433800548|Heather|Moore|F|56193 Anna Oval|Laurel|MD|20723|39.1208|-76.8434|102149|Further education lecturer|1951-12-07|377929904094|adults_50up_female_urban.json
788-06-9127|4891077119918081211|Shelby|Bartlett|F|478 Oconnor Courts|Rio Grande City|TX|78582|26.3942|-98.8104|40455|Designer, exhibition/display|1994-02-01|402211201664|adults_2550_female_urban.json
839-18-2015|4603754821459|Michelle|Perry|F|86326 Hardin Mount|Fort Lauderdale|FL|33301|26.1216|-80.1288|711693|Scientist, clinical (histocompatibility and immunogenetics)|2006-05-21|750737122054|young_adults_female_urban.json
031-57-2386|060481155624|Jessica|Long|F|290 Barnes Springs|Apple Valley|CA|92308|34.4698|-117.1927|77467|Surgeon|1939-04-22|334464334871|adults_50up_female_urban.json
761-41-5639|578926738993|Marissa|Terry|F|41085 Hardy Streets Apt. 884|Rittman|OH|44270|40.9684|-81.7826|8890|Engineer, production|1999-07-20|558744405500|adults_2550_female_urban.json
320-67-5583|4008943468105486|Henry|Williams|M|4907 Bird Valley|Hanover|PA|17331|39.7943|-76.9812|50292|Television camera operator|1965-10-10|784113269443|adults_50up_male_urban.json
682-69-9758|4449268315897|Corey|Osborne|M|26611 Roger Curve Suite 371|Myrtle Creek|OR|97457|43.0162|-123.2851|10208|Merchant navy officer|1937-05-11|578432547912|adults_50up_male_urban.json
603-72-8503|6597677622827724|Walter|Palmer|M|377 Julie Points|Grenada|MS|38901|33.7751|-89.8087|18403|Merchant navy officer|1957-09-14|661935059927|adults_50up_male_urban.json
113-16-6056|3508215454470225|Richard|Fisher|M|3270 Amy Cliff Apt. 679|San Diego|CA|92107|32.7425|-117.2433|1241364|Insurance claims handler|2004-11-26|496351176830|young_adults_male_urban.json
801-49-7787|3528777251996633|Steven|Morgan|M|741 Jasmine Ports|Bridgeton|MO|63044|38.7506|-90.4161|10568|Insurance broker|1947-06-30|711079270988|adults_50up_male_urban.json
660-72-1396|4983780182047|Richard|Sanchez|M|89569 Travis Brooks Suite 626|Hollister|FL|32147|29.6576|-81.7797|593|Aeronautical engineer|2003-03-18|583512746771|young_adults_male_rural.json
392-33-1492|5482422412462097|Tyrone|White|M|6152 Orozco Green|Portland|OR|97223|45.4403|-122.7793|841711|Mining engineer|1948-10-19|910282144077|adults_50up_male_urban.json
054-26-3926|3578861405786170|Allen|Schultz|M|8913 Kevin Lodge|Norborne|MO|64668|39.3299|-93.6761|1416|Product designer|1981-02-12|928073319573|adults_2550_male_rural.json
513-27-2333|343868700794205|Antonio|Weeks|M|465 Brenda Pass Suite 028|Buckeye|AZ|85326|33.389|-112.6077|63868|Surveyor, quantity|1972-08-19|326717883990|adults_50up_male_urban.json
405-90-2015|4639855474355375|Tina|Murphy|F|097 Rachel Spring|Steger|IL|60475|41.4686|-87.6386|9870|Early years teacher|1931-01-19|611659877737|adults_50up_female_urban.json
721-63-6436|213118071569563|Christopher|Tate|M|75370 Julia Trace|Colorado Springs|CO|80903|38.8388|-104.8145|525713|Health visitor|1964-09-12|393888005209|adults_50up_male_urban.json
093-79-4968|3537504793036143|Laura|Snyder|F|999 Cameron Crossroad|Vassalboro|ME|04989|44.4405|-69.6519|4215|Bookseller|1998-07-08|284015153138|adults_2550_female_urban.json
877-30-8571|3530894870605663|Denise|Frazier|F|5803 Joshua Manor Suite 506|Collingswood|NJ|08108|39.9157|-75.0634|18045|Engineer, broadcasting (operations)|1933-05-23|87336896474|adults_50up_female_urban.json
828-04-3697|3513325411076099|Robert|Mcconnell|M|17350 Stone Freeway Apt. 997|Boerne|TX|78006|29.8931|-98.6857|37160|Chief of Staff|2002-06-16|492312124212|young_adults_male_urban.json
128-11-0995|630451207041|Leslie|Reynolds|M|080 Horn Locks|Deltona|FL|32738|28.9093|-81.1922|88735|Chief Operating Officer|1967-09-12|827285012637|adults_50up_male_urban.json
239-77-0174|36769915078594|Cheryl|Garcia|F|392 Kelly Orchard|Hamilton|OH|45011|39.4059|-84.5221|134328|Web designer|1957-12-27|203773109823|adults_50up_female_urban.json
141-06-0992|4968549822749543|Jackie|Smith|F|38806 Gonzalez Flats|Portland|OR|97230|45.5472|-122.5001|841711|Engineer, drilling|1970-04-09|76387126423|adults_50up_female_urban.json
194-86-7795|3595995946521701|Kathleen|Mora|F|379 John Street|Wilson|NC|27893|35.727|-77.9227|59853|Learning disability nurse|1985-08-15|815216022800|adults_2550_female_urban.json
211-52-3019|580150812478|Cheyenne|Willis|F|03342 Nicole Stravenue Apt. 583|Indio|CA|92201|33.7287|-116.0357|87432|Editor, magazine features|1966-10-15|22316596654|adults_50up_female_urban.json
864-34-1658|676326153472|David|Pacheco|M|961 Drew Curve|Port Charlotte|FL|33948|26.9827|-82.1412|79008|Energy manager|1980-12-28|584938817144|adults_2550_male_urban.json
712-48-5210|3530993842530429|Sarah|Schmitt|F|17912 Potter Rue Suite 787|West Springfield|MA|01089|42.1151|-72.6411|28391|Editorial assistant|1992-11-13|783066267688|adults_2550_female_urban.json
539-89-7919|3574969033373636|Elizabeth|Oneal|F|4812 Kenneth Path|Huntington Beach|CA|92646|33.6654|-117.9686|190249|Management consultant|1966-09-20|640938732280|adults_50up_female_urban.json
477-66-5512|6576657546027341|Maria|Howard|F|8881 House Courts|Solon|OH|44139|41.3866|-81.4421|24356|Commissioning editor|1974-05-26|395443431480|adults_50up_female_urban.json
560-26-5469|4444392840449|Samantha|Logan|F|9078 Michelle Forks Apt. 373|Cleveland|TN|37312|35.2023|-84.8476|88774|Scientist, clinical (histocompatibility and immunogenetics)|2001-04-20|865809587905|young_adults_female_urban.json
776-60-7560|345366377805295|Shane|Torres|M|5536 Jennings Lodge|Columbus|OH|43228|39.9648|-83.126|783285|Soil scientist|1966-10-20|357769217573|adults_50up_male_urban.json
024-73-0528|4599996636186379|Ashley|Hudson|F|412 Emily Fall Apt. 970|Rochester|NY|14617|43.2203|-77.5994|478127|Embryologist, clinical|1972-12-21|73869137112|adults_50up_female_urban.json
291-27-3819|4705802566212867162|Tina|Glenn|F|46729 Matthews Parkway|San Diego|CA|92105|32.7423|-117.0947|1241364|Proofreader|2000-02-16|220226342085|adults_2550_female_urban.json
147-58-1049|6011859777901474|Hannah|Kirby|F|9263 Rachel Street Suite 762|Ketchikan|AK|99901|55.372|-131.6832|13508|Teacher, adult education|1963-04-02|429907045757|adults_50up_female_urban.json
045-31-2588|4137681511856724388|Amanda|Johnson|F|5636 Alex Crescent Apt. 577|Altadena|CA|91001|34.1912|-118.1392|36126|Psychologist, clinical|1963-10-09|90487389653|adults_50up_female_urban.json
673-32-7172|4422091241862102|Megan|Hernandez|F|30837 Mary Valleys Apt. 647|Saint Paul|MN|55112|45.0788|-93.1872|753116|Associate Professor|2001-08-29|6864239738|young_adults_female_urban.json
791-49-3306|4331060053134|Tyler|Davis|M|206 Lisa Islands|Onekama|MI|49675|44.3646|-86.21|1030|Surveyor, planning and development|1999-08-27|208850457458|adults_2550_male_rural.json
213-70-6473|6011331552065065|Christy|Robinson|F|950 Nicole Loop Suite 971|Eagle Creek|OR|97022|45.3582|-122.3381|3722|Software engineer|1952-04-03|935968824759|adults_50up_female_urban.json
176-33-1553|3562525715099768|Jorge|Harmon|M|09143 Todd River|Palm Beach|FL|33480|26.7206|-80.0388|9549|Cartographer|1974-05-14|150581222763|adults_50up_male_urban.json
511-38-3310|4303975245086409|Daryl|Quinn|M|38033 Boyd Falls Suite 017|Great Falls|MT|59405|47.495|-111.2502|72079|Building control surveyor|1966-09-28|214549341145|adults_50up_male_urban.json
650-19-3346|4298338167423364|Christopher|Wright|M|734 Miller Lake Suite 627|Onalaska|TX|77360|30.8225|-95.1056|5280|Prison officer|1975-10-09|555866252092|adults_2550_male_urban.json
753-56-2554|30066149828241|James|Torres|M|8971 Taylor Mountains Apt. 230|Greeneville|TN|37743|36.1316|-82.8692|43989|Administrator, Civil Service|1980-09-25|553456594481|adults_2550_male_urban.json
743-48-8052|6565674916016922|Cory|Graham|M|587 Horton Run Suite 633|Tarrytown|GA|30470|32.1888|-82.5221|517|Purchasing manager|1961-11-06|398629342571|adults_50up_male_rural.json
724-87-0463|3549724399201166|James|Willis|M|362 King Hollow|Lake Havasu City|AZ|86403|34.4814|-114.3483|55808|Restaurant manager, fast food|2009-06-20|588271720953|young_adults_male_urban.json
392-76-5046|3511952436402703|Brent|Ayala|M|646 Gregory Ferry Apt. 372|Milwaukee|WI|53226|43.0493|-88.0414|817312|Retail buyer|1940-05-28|124332789091|adults_50up_male_urban.json
581-28-3042|4234679121419|Jamie|Hill|F|93771 Bruce Terrace Apt. 901|Shelton|WA|98584|47.2633|-123.1597|36630|Engineer, mining|1964-05-02|869826803572|adults_50up_female_urban.json
385-78-8521|4759655553566905512|Aaron|Harrell|M|209 Misty Harbors Apt. 579|North Palm Beach|FL|33408|26.8289|-80.0603|16921|Public relations officer|1997-03-31|453183104890|adults_2550_male_urban.json
193-01-5279|676350573975|Jennifer|Salazar|F|6716 Lawson Station|Chapel Hill|NC|27514|35.9203|-79.0372|91595|Customer service manager|1948-06-19|574966665129|adults_50up_female_urban.json
804-92-8268|503871487271|Troy|Olson|M|32116 Ethan Islands|Morrow|GA|30260|33.5849|-84.3247|23244|Music therapist|1952-06-17|308233949370|adults_50up_male_urban.json
737-33-7804|4287153991566863|Rhonda|Walker|F|1115 Julie Crescent|San Antonio|TX|78218|29.4969|-98.4032|1595797|Teacher, primary school|1973-07-01|139018371982|adults_50up_female_urban.json
390-74-0028|4983665528993160877|Ethan|Cabrera|M|77294 Julie Vista Apt. 954|West Palm Beach|FL|33410|26.8467|-80.088|459921|Retail buyer|1970-08-30|760167701011|adults_50up_male_urban.json
281-91-9404|30374605233025|Shannon|Luna|F|208 Rogers Springs Suite 566|Amsterdam|NY|12010|42.9063|-74.229|28937|Building surveyor|1985-03-14|801130991631|adults_2550_female_urban.json
290-90-3197|3512590472927743|Steven|Clark|M|059 Erika Walks|Arizona City|AZ|85123|32.7452|-111.6033|10677|Data scientist|1997-08-18|472372101972|adults_2550_male_urban.json
862-22-0923|2287201859626305|Barbara|Sanders|F|926 Kimberly Way Suite 475|Fort Worth|TX|76133|32.6526|-97.3758|813980|Administrator, arts|1970-02-12|125069449315|adults_50up_female_urban.json
125-63-8352|4999741926769|Edwin|Martinez|M|82606 Brown Villages Apt. 312|Fenwick Island|DE|19944|38.4865|-75.0589|620|Tour manager|1969-10-23|200554425137|adults_50up_male_rural.json
569-58-5150|5229321840118453|Tracy|Jackson|F|40848 Taylor Overpass|Fremont|CA|94538|37.5308|-121.9712|214112|Intelligence analyst|1939-03-07|667232262429|adults_50up_female_urban.json
523-27-1623|4303243298395429|Nicholas|Henderson|M|6267 Shirley Springs Suite 283|Memphis|TN|38116|35.0303|-90.0123|697385|Building services engineer|1970-04-24|805862859182|adults_50up_male_urban.json
649-90-3157|3598926256609312|Devin|Schmidt|M|51554 Misty Fork Suite 016|Mount Vernon|NY|10550|40.9079|-73.838|67100|Environmental education officer|1957-03-01|859444442469|adults_50up_male_urban.json
180-68-5023|3518594849102562|Catherine|Shaffer|F|9240 Diane Divide Suite 940|Kissimmee|FL|34747|28.3037|-81.5898|228365|Metallurgist|1943-03-14|857737191645|adults_50up_female_urban.json
695-78-6853|3527578446834148|Jason|Edwards|M|113 Frederick Centers|Bridgeview|IL|60455|41.7431|-87.8066|16446|Chartered accountant|1998-06-22|316725531904|adults_2550_male_urban.json
505-02-6947|4778816093068535|Wendy|Guerrero|F|728 Gregory Lakes|Sanford|NC|27330|35.4698|-79.1717|68183|Contracting civil engineer|1936-11-08|388753314711|adults_50up_female_urban.json
433-64-6212|4153814474430965|Claudia|Torres|F|9705 Christina Isle|West Yarmouth|MA|02673|41.6614|-70.2363|8402|Hydrogeologist|1968-09-24|117484074773|adults_50up_female_urban.json
359-93-3051|6501673188261700|Christopher|Douglas|M|6545 Mcclain Plain|Albany|MO|64402|40.2513|-94.327|2388|Geophysical data processor|1973-03-05|723438158429|adults_50up_male_rural.json
166-18-5796|3505313402665021|Melvin|Vaughan|M|67872 Potter Tunnel Suite 862|Millerton|NY|12546|41.9536|-73.5287|3039|Clinical molecular geneticist|2002-12-13|120077315263|young_adults_male_urban.json
130-20-5639|213130569067448|John|Hodges|M|282 Juan Crescent|Sun City|CA|92585|33.7467|-117.1721|54287|General practice doctor|2003-09-19|773069447547|young_adults_male_urban.json
683-55-3251|30189239231264|Andrew|Mooney|M|0931 Omar Pine|Seattle|WA|98115|47.6849|-122.2968|837792|Information officer|1996-06-01|698791861372|adults_2550_male_urban.json
228-44-6981|30086041454565|Danielle|Jacobson|F|00534 Ramirez Rest|Saint Louis|MO|63113|38.659|-90.2496|927396|Chiropractor|1991-11-16|203714196644|adults_2550_female_urban.json
504-47-5477|4108255598953439611|Stephen|Anderson|M|93371 Shelly River|Waunakee|WI|53597|43.1818|-89.4532|16844|Lobbyist|2004-08-01|795863781117|young_adults_male_urban.json
780-26-8742|3502368485571614|Karen|Mills|F|94240 Laura Square|Shingle Springs|CA|95682|38.6465|-120.9641|29114|Energy manager|1966-02-19|896534545111|adults_50up_female_urban.json
507-88-8724|213127868669437|Clinton|Moore|M|087 Turner Forges|San Antonio|TX|78221|29.3309|-98.5054|1595797|Housing manager/officer|1987-07-10|295099706923|adults_2550_male_urban.json
122-22-3669|676134024246|Shelley|Williams|F|81059 Nguyen Squares|Macon|GA|31204|32.8424|-83.6766|165895|Stage manager|1983-10-14|791408017807|adults_2550_female_urban.json
419-79-4832|340534240891645|Sergio|Walters|M|3543 Moore Fort|Philadelphia|MS|39350|32.7572|-89.1154|24865|Politician's assistant|1945-07-18|160497086732|adults_50up_male_urban.json
096-64-2974|30223972404224|Robert|Mcdaniel|M|21637 Garcia Pine|Weston|CT|06883|41.2195|-73.3715|10179|Copywriter, advertising|1993-04-18|827755151135|adults_2550_male_urban.json
618-13-6192|6011100231429004|Tina|Rodriguez|F|132 Malone Mills Apt. 457|Alburtis|PA|18011|40.5145|-75.6029|5450|Designer, fashion/clothing|1983-05-26|61176693233|adults_2550_female_urban.json
709-35-8907|5101841862030362|Janice|Gomez|F|61721 Cristian Haven Suite 195|Pearland|TX|77584|29.5405|-95.3208|112611|Commissioning editor|1975-06-29|983911742501|adults_2550_female_urban.json
620-20-2918|6592624945147542|Robert|Dawson|M|22526 Griffith Turnpike|Stafford|TX|77477|29.6228|-95.5678|35897|Purchasing manager|1997-06-22|76513338142|adults_2550_male_urban.json
592-55-4563|4522655767695234|James|Dunn|M|836 Bianca Manor Apt. 135|Rochester|MN|55901|44.0496|-92.4896|117815|Accountant, chartered|1966-11-07|20833147382|adults_50up_male_urban.json
572-61-2189|5255247286333024|Autumn|Dominguez|F|0650 Elizabeth Cliffs|Shelby|NC|28152|35.2689|-81.5337|52833|Publishing rights manager|1984-04-30|656431794367|adults_2550_female_urban.json
031-19-5985|4310962272847656|Jeremy|Newman|M|1200 Wesley Branch|Freeland|WA|98249|48.0342|-122.5641|4561|Occupational hygienist|1964-05-19|467432801736|adults_50up_male_urban.json
897-59-9080|3598436241862364|Manuel|Robinson|M|891 Woods Shoal|Hope|AR|71801|33.6736|-93.6068|16745|Ophthalmologist|2010-02-18|420164855200|young_adults_male_urban.json
056-48-6951|4111595034282|Brian|Lewis|M|3830 Joseph Port|Siler City|NC|27344|35.7354|-79.4566|18022|Systems analyst|1984-08-10|618668025286|adults_2550_male_urban.json
047-07-5155|2260546835652150|Jennifer|Figueroa|F|209 Woods Ways|Silver Spring|MD|20902|39.04|-77.0444|282095|Applications developer|1972-06-17|177339712408|adults_50up_female_urban.json
699-60-1291|4332288985725458|Loretta|Bentley|F|633 Susan Port|Opelousas|LA|70570|30.5144|-92.0897|38987|Research scientist (medical)|1963-02-26|885181618728|adults_50up_female_urban.json
147-99-5072|213171752421497|Jack|Davis|M|747 Hines Mills|Jensen Beach|FL|34957|27.2356|-80.2277|22257|Counselling psychologist|1996-07-04|137180523039|adults_2550_male_urban.json
500-06-5956|4692758955168740909|Patrick|Sanchez|M|14629 Nash Fork|Spring|TX|77380|30.1441|-95.4703|316665|Network engineer|1979-05-08|510560624736|adults_2550_male_urban.json
096-45-7633|38112166365154|Grace|Munoz|F|714 Johnson Drives|Spokane|WA|99208|47.7374|-117.4352|342856|Psychotherapist, dance movement|1967-10-07|700704646267|adults_50up_female_urban.json
328-73-0514|3505673030644213|Brenda|Hill|F|7683 White Center|Haubstadt|IN|47639|38.1895|-87.5798|4069|Chief Executive Officer|1976-04-06|991686287359|adults_2550_female_urban.json
351-97-4865|4567782659608939|Blake|Contreras|M|5027 Victor Island|Claremore|OK|74017|36.3242|-95.5985|45705|Clothing/textile technologist|1958-07-31|449571171860|adults_50up_male_urban.json
534-93-0061|30279103368290|James|Bailey|M|905 Smith Inlet|Lathrop|CA|95330|37.8209|-121.2827|17853|Retail buyer|2003-12-09|957000539170|young_adults_male_urban.json
717-64-7472|6555868512765286|Linda|Daniels|F|6491 Linda Cove Apt. 096|Burbank|CA|91501|34.1862|-118.3009|106841|Civil Service administrator|2003-03-30|822470796467|young_adults_female_urban.json
558-13-7277|213146337861375|Trevor|Bell|M|6053 Adams Shoals Suite 463|Andover|MN|55304|45.2377|-93.2724|45967|Accountant, chartered management|1935-03-23|36140245674|adults_50up_male_urban.json
027-20-6135|180052963863967|Ronald|Solis|M|62658 Samuel Courts Apt. 819|Gates|TN|38037|35.796|-89.3938|1773|Nurse, children's|1975-07-12|841139412121|adults_2550_male_rural.json
267-71-2606|341106092098196|Janet|Newton|F|5233 Lee Ville|Seattle|WA|98115|47.6849|-122.2968|837792|Financial trader|1963-05-06|857817980840|adults_50up_female_urban.json
789-34-0848|4209117911244211752|Susan|Clark|F|0617 Jason Manor|Orlando|FL|32812|28.4998|-81.3288|878243|Mining engineer|1980-11-11|347418674161|adults_2550_female_urban.json
462-21-2946|4299015579980284137|Lisa|Herrera|F|51305 Jeffrey Stream|Grand Rapids|MI|49504|42.9737|-85.7265|375580|Computer games developer|1994-07-22|301797003309|adults_2550_female_urban.json
205-12-5711|3577686342346197|Ricky|Matthews|M|76769 Cabrera Road|Germantown|MD|20874|39.1355|-77.2822|82863|Clinical cytogeneticist|2006-05-20|423515109958|young_adults_male_urban.json
205-73-5783|347208496498560|Amanda|White|F|2531 Diane Landing Apt. 510|Hialeah|FL|33010|25.8325|-80.2808|347944|Investment banker, operational|1933-08-10|11546128003|adults_50up_female_urban.json
337-28-7625|3538164938318499|Tracy|Aguirre|M|665 Gonzalez Causeway|Walnutport|PA|18088|40.7615|-75.5657|8375|Research officer, political party|1979-05-22|49386329864|adults_2550_male_urban.json
432-16-2034|30295963904099|William|Buck|M|60880 Newman Cliff Suite 164|Morrow|GA|30260|33.5849|-84.3247|23244|Haematologist|2005-05-03|825996040059|young_adults_male_urban.json
410-11-9117|379064771591038|Amber|Smith|F|6321 Jennifer Valleys|Vancouver|WA|98662|45.6914|-122.5805|299480|Merchandiser, retail|1974-10-07|995642772692|adults_50up_female_urban.json
006-89-0861|4104145964229712525|Paul|Barron|M|718 Becky Shore Suite 457|Gaithersburg|MD|20878|39.1125|-77.2515|135332|Equities trader|1973-04-16|288157084137|adults_50up_male_urban.json
729-11-5784|213131170303768|Chelsea|Garcia|F|885 Erickson Shoal|Indio|CA|92203|33.7532|-116.2676|87432|Designer, exhibition/display|1961-01-29|557692084425|adults_50up_female_urban.json
134-29-5958|6598363146249120|Julia|Rodriguez|F|07240 Stanley Mission|Le Raysville|PA|18829|41.8434|-76.1796|868|Management consultant|1982-08-06|129989670839|adults_2550_female_rural.json
087-46-7070|4686850745102|Matthew|Dennis|M|43629 Moreno Park Suite 103|Shawnee Mission|KS|66223|38.8619|-94.661|370212|Clinical psychologist|1998-09-21|125497139516|adults_2550_male_urban.json
037-74-4362|4814396661340|Jon|Jackson|M|4940 Jackson Squares|Princeton|IN|47670|38.3525|-87.5691|12352|Writer|1967-10-22|813796480365|adults_50up_male_urban.json
874-89-3910|4122572076502411|Carolyn|Wolf|F|579 Tracy Gateway|Wardell|MO|63879|36.3478|-89.8181|773|Public house manager|2005-05-22|47714449557|young_adults_female_rural.json
581-88-4763|4211457758471|Dawn|Ellis|F|5897 Joseph Path Apt. 263|Orient|OH|43146|39.7954|-83.1543|12369|Curator|1967-08-04|546994984893|adults_50up_female_urban.json
251-74-7057|341361487824553|James|Butler|M|3098 Flowers Crossing Suite 795|Richmond Hill|NY|11418|40.6982|-73.8345|36256|Homeopath|1962-01-19|545496644624|adults_50up_male_urban.json
151-60-2462|180098247414077|Andrew|Campbell|M|74065 Brendan Dam|Birmingham|AL|35235|33.6328|-86.6493|493806|Maintenance engineer|1982-04-29|313011727974|adults_2550_male_urban.json
682-99-9188|4423691430753662|Jennifer|Strong|F|9429 Shelton Islands Apt. 342|Maysville|KY|41056|38.6207|-83.8067|14228|Pension scheme manager|1994-01-29|221423962760|adults_2550_female_urban.json
313-11-4872|3582661287585755|Jessica|Fisher|F|0806 Katelyn Ridges Suite 398|Lake Zurich|IL|60047|42.2165|-88.0769|41669|Midwife|1959-03-30|679151474133|adults_50up_female_urban.json
580-38-0878|6011607870104151|Linda|Short|F|501 Jacqueline Path Apt. 872|Bronx|NY|10457|40.8486|-73.8999|1382480|Environmental health practitioner|1996-06-26|742578595436|adults_2550_female_urban.json
873-20-4930|4079311029181335|Ashley|Johnson|F|0146 Mcgrath Viaduct Apt. 849|Lagrange|GA|30240|33.0243|-85.0739|53190|Print production planner|1986-10-06|725245230756|adults_2550_female_urban.json
127-56-2397|4223288377441971|Holly|Hill|F|176 Hernandez Haven Suite 196|Raleigh|NC|27610|35.7667|-78.6008|489514|Administrator, arts|1976-12-30|333205873837|adults_2550_female_urban.json
661-84-7283|582774025883|Daniel|Orr|M|122 Rios Port Suite 724|Laredo|TX|78040|27.5155|-99.4986|248858|Immunologist|1941-02-27|433463032839|adults_50up_male_urban.json
860-83-7926|6592988425995997|Sandra|Jones|F|231 Victor Springs|Salt Lake City|UT|84121|40.6226|-111.7777|594043|Publishing copy|1952-04-27|834613761882|adults_50up_female_urban.json
791-94-3877|2227610941017591|Mark|Johnson|M|1762 James Overpass|Mays Landing|NJ|08330|39.432|-74.6962|28167|Primary school teacher|1998-11-17|316448246954|adults_2550_male_urban.json
207-95-2656|6011190130205696|Joshua|Jones|M|873 Ashley Mountains|Philo|OH|43771|39.8458|-81.9175|2007|Restaurant manager, fast food|2005-09-03|392354307922|young_adults_male_rural.json
573-18-1101|36619128411738|Amber|Fernandez|F|44651 Tammy Club|Savannah|GA|31415|32.0753|-81.1289|236823|Social researcher|1962-01-16|264464139737|adults_50up_female_urban.json
626-65-5116|6011819740056434|Felicia|Hubbard|F|85037 Linda Port|Smithfield|RI|02917|41.8964|-71.5207|13762|Travel agency manager|1968-08-13|917847786168|adults_50up_female_urban.json
355-10-6820|3587240107835677|Eric|Horn|M|00389 Fleming Street|Sandy|OR|97055|45.379|-122.223|17350|Adult nurse|1950-03-15|530653929487|adults_50up_male_urban.json
397-99-6181|3566821719553561|Tamara|Allen|F|036 Vicki Bridge|Freeport|NY|11520|40.6536|-73.5866|43341|Fisheries officer|1978-10-09|63619726599|adults_2550_female_urban.json
059-17-7186|4055934296711142|Todd|Harris|M|74584 Alison Grove Suite 881|Westfield|NC|27053|36.4674|-80.3677|3007|Audiological scientist|1936-08-10|989331266010|adults_50up_male_urban.json
723-80-7967|4328348315203771070|Sara|Nelson|F|1049 Simpson Wall Suite 670|Kingston|MA|02364|41.995|-70.741|12629|Environmental manager|1980-12-23|417495431869|adults_2550_female_urban.json
676-56-8725|676340850954|Thomas|Solomon|M|59660 Angela Stravenue|Quincy|MA|02169|42.2491|-70.9978|92271|Holiday representative|1952-04-10|588144128828|adults_50up_male_urban.json
435-74-9312|180026732044133|Raymond|Phillips|M|94544 David Port Suite 427|Delavan|WI|53115|42.6227|-88.6277|15788|Psychologist, counselling|2000-10-09|481110497017|young_adults_male_urban.json
478-05-5878|30360914985173|Catherine|Miranda|F|7232 Monica Shoal Apt. 310|San Benito|TX|78586|26.1337|-97.6447|55878|Educational psychologist|1991-04-20|556990434553|adults_2550_female_urban.json
594-41-0688|213104405809354|Brian|Hunter|M|133 Hudson Village|Salt Lake City|UT|84109|40.7043|-111.8142|594043|Pathologist|1978-12-24|704681267877|adults_2550_male_urban.json
897-37-2345|589556574905|Christopher|Williams|M|019 Lindsey Pass|Brooklyn|MD|21225|39.2259|-76.6153|33545|Rural practice surveyor|1972-07-06|639020125593|adults_50up_male_urban.json
353-28-6207|3526113989868187|Robert|Lawson|M|4394 Mark Union Suite 375|Fayetteville|NC|28314|35.0583|-79.008|238602|Commercial art gallery manager|1953-04-02|264969731495|adults_50up_male_urban.json
751-53-5930|2288815793763921|Tammy|Sanchez|F|929 Flynn Junctions Suite 116|Kansas City|MO|64112|39.0382|-94.5929|545147|Pharmacist, community|1962-02-21|631997559540|adults_50up_female_urban.json
648-99-3246|4021648712060212|Carlos|Camacho|M|5268 Jennifer Crest Suite 599|New York City|NY|10128|40.7816|-73.9511|1577385|Warehouse manager|1987-10-24|50346377953|adults_2550_male_urban.json
757-46-7355|6564722981209954|Megan|Chavez|F|2894 Jesse Park Suite 098|Gambell|AK|99742|63.7766|-171.7017|681|Scientist, water quality|1967-07-05|560836091655|adults_50up_female_rural.json
293-42-6293|342036849951547|Christopher|Roberts|M|3244 Sandra Shores Suite 213|Brooklyn|NY|11226|40.6467|-73.957|2504700|Sub|1939-07-08|561948324082|adults_50up_male_urban.json
029-77-0652|213107053496788|Cameron|Chavez|M|176 Baker Way|Harvest|AL|35749|34.8273|-86.7499|20575|Copywriter, advertising|1967-09-29|309207912342|adults_50up_male_urban.json
685-15-5796|2241528547815063|Ashlee|Thornton|F|80032 Wiggins Forges Apt. 472|North Charleston|SC|29405|32.853|-79.9913|71702|Radio producer|1971-11-22|205359003028|adults_50up_female_urban.json
509-37-2160|4830617893207|Jennifer|Baker|F|935 Moreno Falls Suite 347|Charlotte|NC|28269|35.2886|-80.8209|790689|Recruitment consultant|1969-12-16|694911733425|adults_50up_female_urban.json
613-46-8904|30413146753610|Christopher|Huber|M|6277 Mcdaniel Burgs|Jamaica|NY|11435|40.7029|-73.8111|224445|Horticultural therapist|1987-05-06|555201505411|adults_2550_male_urban.json
872-53-0997|180045667664046|John|Robinson|M|7639 Amanda Tunnel|Fresh Meadows|NY|11365|40.7374|-73.7951|55784|Clinical molecular geneticist|1951-04-27|672649018684|adults_50up_male_urban.json
133-78-8844|060406155816|Mary|Stone|F|328 Heath Forks Suite 255|Willis|TX|77378|30.4441|-95.4506|28966|Patent attorney|1968-03-21|606516448533|adults_50up_female_urban.json
